MEHIRUT_MUTERET,ROHAV,RAMZOR,KVUZA_GIL,veteran_driver_years,HODESH_TEUNA_sin,HODESH_TEUNA_cos,SUG_YOM_Holiday,SUG_YOM_HolidayEve,SUG_YOM_IntermediateHoliday,SUG_YOM_Weekday,is_night,YOM_BASHAVUA_sin,YOM_BASHAVUA_cos,_MultiLaneOneWay,_SingleLaneOneWay,_TwoWay_Separated,_TwoWay_Unseparated,is_bad_road,is_signage_problem,is_not_clear_weather,is_slippery_road,SEX,vehicle_0,vehicle_1,vehicle_2,hour_sin,hour_cos,risk_level
1,2,1,15,52.0,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0
1,2,1,10,28.0,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,0,0,0,1,0.49999999999999994,-0.8660254037844387,0
1,2,0,8,22.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,-0.7818314824680299,0.6234898018587334,0,0,0,1,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,0
1,2,0,10,29.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,-0.7818314824680299,0.6234898018587334,0,0,0,1,0,0,0,0,1,1,0,0,1.2246467991473532e-16,-1.0,0
1,2,1,13,45.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388,0
1,2,1,12,26.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844388,0
1,1,0,8,20.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,1,1,0,0,-0.4999999999999997,-0.8660254037844388,0
1,1,0,9,25.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844388,0
1,4,1,5,4.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,1,0,1,0,0,0.49999999999999994,-0.8660254037844387,1
1,4,1,8,20.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,1,0,1,0,0,0.49999999999999994,-0.8660254037844387,1
3,3,1,4,3.0,-0.4999999999999997,-0.8660254037844388,0,0,0,1,1,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,0,1,1,0,0,-0.8660254037844386,0.5000000000000001,0
1,3,1,4,2.0,-2.4492935982947064e-16,1.0,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,1,1,0,0,-0.5000000000000004,0.8660254037844384,0
1,3,1,4,3.0,-2.4492935982947064e-16,1.0,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,1,1,0,0,-0.5000000000000004,0.8660254037844384,0
1,2,0,11,25.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388,0
1,3,1,8,19.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0
1,2,1,11,11.0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,0,0,1,1,0,0,-1.0,-1.8369701987210297e-16,0
1,4,1,8,19.0,-0.8660254037844386,0.5000000000000001,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
1,4,1,8,23.0,-0.8660254037844386,0.5000000000000001,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
1,2,0,10,25.0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0,0,0,1,1,0,0,-0.4999999999999997,-0.8660254037844388,0
1,2,0,12,30.0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844388,0
1,1,1,15,50.0,-2.4492935982947064e-16,1.0,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,1,1,0,0,0.7071067811865476,-0.7071067811865475,0
1,1,1,6,6.0,-2.4492935982947064e-16,1.0,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,1,1,0,0,0.7071067811865476,-0.7071067811865475,0
1,3,1,6,11.0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,0
1,3,1,11,36.0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844388,0
1,4,1,8,3.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0
1,3,0,4,3.0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,1,0,0,-0.2588190451025208,-0.9659258262890683,0
1,4,1,5,6.0,-2.4492935982947064e-16,1.0,0,0,0,1,1,0.9749279121818236,-0.22252093395631434,0,1,0,0,1,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,1
1,5,1,6,10.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,0,0,1,0.7071067811865476,-0.7071067811865475,1
1,5,1,16,34.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,1,0,0,0.7071067811865476,-0.7071067811865475,1
1,5,1,10,30.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,1,0,0,0.7071067811865476,-0.7071067811865475,1
