SEMEL_YISHUV,ZOMET_IRONI,total_acc,fatal_acc,severe_acc,light_acc
1200,170001.0,1,0,1,0
1200,240001.0,1,0,0,1
1200,250001.0,4,0,2,2
1200,270001.0,2,0,0,2
1200,300001.0,2,0,0,2
1200,360001.0,2,0,2,0
1200,670001.0,1,0,1,0
1200,780135.0,2,0,0,2
1200,780143.0,1,0,0,1
1200,780201.0,1,0,0,1
1200,780258.0,1,0,0,1
1247,10011.0,2,0,0,2
1247,10014.0,2,0,0,2
1247,10015.0,2,0,2,0
1309,10001.0,1,0,0,1
1309,140032.0,2,0,0,2
1313,2.0,2,0,0,2
1345,4.0,1,0,0,1
2034,80001.0,1,0,0,1
2100,50004.0,1,0,0,1
2100,430003.0,1,0,0,1
2100,8180004.0,1,0,0,1
2100,8220003.0,1,0,0,1
2100,8220067.0,1,0,0,1
2100,8220071.0,1,0,0,1
2200,7440003.0,2,0,0,2
2200,7510006.0,3,0,0,3
2200,7780008.0,1,0,1,0
2400,690001.0,1,0,0,1
2400,8050002.0,1,0,1,0
2400,8070001.0,2,0,0,2
2400,8120001.0,1,0,0,1
2400,8140059.0,2,0,0,2
2400,8140128.0,2,0,0,2
2500,160001.0,2,0,0,2
2500,450001.0,2,0,0,2
2500,15140002.0,8,0,0,8
2500,15160001.0,1,0,0,1
2500,15410001.0,2,0,0,2
2500,15480001.0,2,0,0,2
2500,15530001.0,2,0,0,2
2500,15550001.0,7,0,0,7
2500,15670001.0,5,0,0,5
2500,15700001.0,4,0,0,4
2500,15710009.0,1,0,0,1
2500,15710086.0,2,0,0,2
2530,7770001.0,1,0,0,1
2530,7830100.0,1,0,1,0
2550,40001.0,1,0,0,1
2550,270001.0,2,0,0,2
2550,480209.0,2,0,0,2
2560,30002.0,1,0,0,1
2560,500050.0,1,0,1,0
2600,20001.0,2,0,0,2
2600,90002.0,2,0,0,2
2600,170001.0,3,0,0,3
2600,180005.0,1,0,0,1
2600,7390002.0,4,0,0,4
2600,7460001.0,4,0,0,4
2600,7480001.0,1,0,0,1
