ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
60022.0,9000,180188.0,572345.0,2023,12,72,4,5,5,1,9,9,0,0,0,0,5,6,1,2.0,9,9,62,11,1,1.32,29.0
60022.0,9000,180188.0,572345.0,2023,12,72,4,5,5,1,9,9,0,0,0,0,5,6,1,2.0,9,9,62,5,1,1.32,5.0
97710248.0,8600,181260.0,665521.0,2023,9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,11,1,5.76,38.0
97710248.0,8600,181260.0,665521.0,2023,9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,8,1,5.76,24.0
97710248.0,8600,181260.0,665521.0,2023,9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,5,2,5.76,6.0
97710248.0,8600,181260.0,665521.0,2023,9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,10,1,5.76,33.0
97710248.0,8600,181260.0,665521.0,2023,9,66,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,7,1,5.76,16.0
26620214.0,3000,218957.0,632486.0,2023,4,31,4,1,3,1,9,0,3,1,1,5,3,1,1,2.0,1,1,11,6,1,4.12,11.0
26620214.0,3000,218957.0,632486.0,2023,4,31,4,1,3,1,9,0,3,1,1,5,3,1,1,2.0,1,1,11,8,1,4.12,18.0
17340323.0,4000,196626.0,746612.0,2023,9,77,2,5,7,1,8,3,0,1,1,2,3,3,1,2.0,1,1,31,9,1,2.52,20.0
17340323.0,4000,196626.0,746612.0,2023,9,77,2,5,7,1,8,3,0,1,1,2,3,3,1,2.0,1,1,31,9,2,2.52,27.0
20700111.0,5000,180659.0,667465.0,2023,2,67,4,1,2,1,8,1,0,1,1,2,3,1,1,2.0,1,1,51,14,1,7.62,52.0
