HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
5,38,4,1,5,1,9,3,0,1,1,2,3,1,1,2,1,1,11,14,2,0.9,37
8,60,4,1,1,1,9,0,2,1,1,2,5,11,1,2,9,9,31,16,1,6.36,53
8,60,4,1,1,1,9,0,2,1,1,2,5,11,1,2,9,9,31,14,1,6.36,51
3,64,1,1,3,1,8,0,1,1,1,2,3,1,0,1,1,1,62,9,1,1.92,16
3,64,1,1,3,1,8,0,1,1,1,2,3,1,0,1,1,1,62,4,2,1.92,4
12,34,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,14,1,1.32,44
12,34,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,7,2,1.32,6
7,70,4,1,1,1,9,3,0,1,1,3,3,1,1,2,1,1,41,4,2,2.52,4
7,70,4,1,1,1,9,3,0,1,1,3,3,1,1,2,1,1,41,4,1,2.52,2
2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2,1,1,23,5,1,1.32,9
2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2,1,1,23,4,1,1.32,3
4,70,4,1,1,1,8,0,3,3,1,3,3,1,1,2,1,1,61,8,1,2.52,22
4,70,4,1,1,1,8,0,3,3,1,3,3,1,1,2,1,1,61,14,1,2.52,50
8,77,4,1,3,1,8,0,3,1,1,2,3,1,0,1,1,1,32,17,1,0.6,6
5,95,4,5,5,1,9,3,0,1,1,3,1,3,0,1,1,1,11,4,1,1.32,4
5,95,4,5,5,1,9,3,0,1,1,3,1,3,0,1,1,1,11,4,2,1.32,4
1,72,4,5,7,1,8,0,3,1,1,5,3,3,1,2,1,1,43,14,2,2.52,48
1,72,4,5,7,1,8,0,3,1,1,5,3,3,1,2,1,1,43,4,1,2.52,3
10,32,4,1,6,1,8,3,0,1,1,2,3,1,1,2,1,1,31,13,1,2.52,33
10,32,4,1,6,1,8,3,0,1,1,2,3,1,1,2,1,1,31,7,1,2.52,18
9,12,4,5,7,1,9,0,2,1,1,4,5,3,1,2,1,1,32,6,2,3.12,9
9,12,4,5,7,1,9,0,2,1,1,4,5,3,1,2,1,1,32,13,1,3.12,33
11,72,4,5,4,1,8,3,0,1,1,2,3,8,0,1,1,1,41,9,1,0.6,24
10,76,4,5,2,1,8,3,0,1,1,2,3,3,1,2,1,1,11,8,1,12.66,21
10,76,4,5,2,1,8,3,0,1,1,2,3,3,1,2,1,1,11,11,1,12.66,37
9,33,4,1,5,1,9,0,3,3,1,4,4,1,9,,1,1,42,7,1,1.98,17
7,5,4,5,3,1,8,3,0,1,1,3,3,3,1,2,1,1,11,6,1,2.57,3
6,85,4,5,6,1,9,3,0,1,1,2,3,3,0,5,1,1,42,12,1,1.32,37
6,85,4,5,6,1,9,3,0,1,1,2,3,3,0,5,1,1,42,6,1,1.32,5
7,9,4,5,1,1,9,1,0,1,1,4,3,10,1,2,9,1,11,5,1,5.04,9
7,9,4,5,1,1,9,1,0,1,1,4,3,10,1,2,9,1,11,11,2,5.04,31
4,76,3,5,2,1,4,1,0,1,1,2,3,10,0,6,9,1,62,5,2,1.32,7
4,76,3,5,2,1,4,1,0,1,1,2,3,10,0,6,9,1,62,10,1,1.32,7
3,11,4,5,5,1,9,1,0,1,1,2,3,3,1,2,1,1,51,10,1,2.57,29
6,36,4,1,3,1,9,3,0,1,1,4,3,1,0,1,1,1,51,99,0,0.6,
10,72,4,5,1,1,8,1,0,1,1,4,3,6,0,1,1,1,51,5,1,5.76,7
9,41,4,1,2,1,9,0,3,3,1,0,3,1,1,2,1,1,62,7,1,1.32,12
9,41,4,1,2,1,9,0,3,3,1,0,3,1,1,2,1,1,62,6,1,1.32,10
6,77,4,1,5,1,8,0,2,3,1,3,3,1,0,1,1,1,51,6,1,1.32,12
6,77,4,1,5,1,8,0,2,3,1,3,3,1,0,1,1,1,51,15,2,1.32,48
3,58,4,1,5,1,8,3,0,1,1,2,3,1,0,1,1,1,42,15,2,0.6,51
4,80,2,5,3,1,8,1,0,1,1,2,3,3,0,1,1,1,51,6,1,1.98,12
4,80,2,5,3,1,8,1,0,1,1,2,3,3,0,1,1,1,51,10,2,1.98,28
5,88,1,5,6,1,9,0,3,1,1,3,3,3,1,2,1,1,32,6,1,2.52,11
5,88,1,5,6,1,9,0,3,1,1,3,3,3,1,2,1,1,32,9,1,2.52,10
3,30,4,1,3,1,8,2,0,1,1,2,3,1,0,1,2,2,11,14,1,2.22,44
12,80,4,5,6,1,9,3,0,1,0,1,5,6,1,2,1,1,51,10,1,3.97,31
12,80,4,5,6,1,9,3,0,1,0,1,5,6,1,2,1,1,51,12,1,3.97,41
4,72,4,1,7,1,8,0,3,2,1,2,3,1,1,2,1,1,62,16,1,2.88,41
4,72,4,1,7,1,8,0,3,2,1,2,3,1,1,2,1,1,62,15,1,2.88,55
12,94,4,5,5,1,8,0,5,1,1,5,5,4,1,2,1,1,61,5,1,5.7,6
12,94,4,5,5,1,8,0,5,1,1,5,5,4,1,2,1,1,61,6,1,5.7,5
2,63,4,1,7,1,9,0,3,1,1,3,3,1,1,2,1,1,62,6,1,7.09,12
2,63,4,1,7,1,9,0,3,1,1,3,3,1,1,2,1,1,62,6,1,7.09,10
6,66,4,1,4,1,9,0,4,1,1,2,3,1,1,2,1,1,41,10,2,0.6,32
6,65,4,1,6,1,11,0,3,1,1,5,3,1,1,2,1,1,31,12,1,3.8,25
12,54,4,1,3,1,9,3,0,1,1,2,3,1,0,1,9,1,42,5,2,0.6,6
1,81,4,5,7,1,8,0,3,1,1,3,5,6,1,3,2,2,41,9,1,3.84,23
1,81,4,5,7,1,8,0,3,1,1,3,5,6,1,3,2,2,41,5,1,3.84,7
9,74,2,1,7,1,9,1,0,1,0,3,3,1,1,2,1,1,51,3,1,3.97,
9,74,2,1,7,1,9,1,0,1,0,3,3,1,1,2,1,1,51,9,1,3.97,22
2,74,4,5,1,1,5,1,0,1,1,1,3,3,0,5,1,1,11,5,1,0.6,7
9,51,4,1,5,1,8,0,3,1,1,2,4,1,0,1,1,1,61,14,1,1.32,49
9,51,4,1,5,1,8,0,3,1,1,2,4,1,0,1,1,1,61,12,2,1.32,39
3,33,4,1,5,1,8,3,0,1,0,3,3,1,1,2,1,1,51,8,1,1.32,21
3,33,4,1,5,1,8,3,0,1,0,3,3,1,1,2,1,1,51,10,2,1.32,26
9,54,4,1,6,1,8,3,0,1,1,4,3,1,1,2,1,1,51,12,1,3.84,41
9,54,4,1,6,1,8,3,0,1,1,4,3,1,1,2,1,1,51,17,1,3.84,
11,25,4,5,4,1,8,1,0,1,1,2,3,6,1,2,1,1,51,12,1,3.97,40
11,25,4,5,4,1,8,1,0,1,1,2,3,6,1,2,1,1,51,8,1,3.97,
9,47,4,1,6,1,9,1,0,1,1,2,3,1,0,5,1,1,51,13,1,1.32,
9,47,4,1,6,1,9,1,0,1,1,2,3,1,0,5,1,1,51,12,1,1.32,41
6,56,4,1,6,1,8,3,0,1,1,3,3,1,0,6,1,1,11,10,2,1.32,7
6,56,4,1,6,1,8,3,0,1,1,3,3,1,0,6,1,1,11,8,1,1.32,24
8,63,4,1,1,1,9,0,4,3,1,2,3,1,1,2,1,1,61,5,1,6.36,9
8,63,4,1,1,1,9,0,4,3,1,2,3,1,1,2,1,1,61,10,1,6.36,30
2,55,4,1,5,1,8,0,3,1,1,4,3,1,0,1,1,1,11,6,1,5.72,10
2,55,4,1,5,1,8,0,3,1,1,4,3,1,0,1,1,1,11,7,1,5.72,13
9,29,4,1,3,1,8,0,2,1,1,3,3,1,9,,1,1,44,14,1,0.6,49
6,55,4,1,1,1,8,3,0,1,1,3,3,1,0,6,1,1,61,10,1,1.32,9
6,55,4,1,1,1,8,3,0,1,1,3,3,1,0,6,1,1,61,7,1,1.32,16
3,77,4,5,7,1,9,0,3,1,1,2,4,3,0,1,1,1,41,13,1,0.9,48
