pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2023000344,1,1,1,666,126,116,,100001,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5,1,1,9,9,9,0,0,9,6,62,623,99,18,1,185647,575134
2023000346,1,1,4,0,,,,,99,0,183,,12,2023,8,28,60,4,1,2,9,3,4,5,3,0,4,1,2,3,1,,1,1,9,9,9,0,0,9,2,29,292,99,99,1,267027,792520
2023000377,1,1,4,0,,,,,5803,0,41,,51,2023,9,4,27,4,5,2,9,1,5,9,0,1,2,1,2,3,6,,1,1,9,9,9,0,0,9,4,41,412,99,99,1,200206,695754
2023000395,1,1,1,3000,1346,1362,,28040411,,,,,61,2023,1,6,43,4,1,6,1,3,2,8,0,3,1,1,4,3,2,2,2,2,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506
2023000403,1,1,2,6800,220,,109,,,,,,12,2023,10,5,82,3,5,5,9,2,18,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,3,31,311,0,15,1,210121,746341
2023000404,1,1,1,5000,400,168,,16540221,,,,,20,2023,7,3,83,4,5,2,1,3,2,8,1,0,3,1,3,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,183582,670124
2023000407,1,1,1,7400,418,169,,7970012,,,,,51,2023,12,7,89,4,5,5,1,3,2,8,3,0,1,1,3,3,3,2,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187283,692584
2023000427,1,1,2,7400,849,,6,,,,,,51,2023,11,2,62,4,1,5,9,2,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,41,411,0,13,1,189130,690377
2023000437,1,1,2,6100,309,,69,,,,,,20,2023,8,13,21,4,5,1,9,3,11,8,3,0,1,1,3,3,6,,1,1,9,9,9,0,0,9,5,51,512,0,13,1,184462,667028
2023000440,1,1,1,6100,503,518,,7930014,,,,,20,2023,6,25,67,4,1,1,9,2,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,512,0,13,1,184423,666612
2023000444,1,2,4,0,,,,,505,0,740,,41,2023,11,5,49,4,1,1,9,3,2,9,1,0,4,1,3,3,1,7,1,1,9,9,9,0,0,9,7,77,777,99,99,1,242280,661965
2023000445,1,1,2,7600,403,,57,,,,,,12,2023,8,27,32,4,1,1,9,3,1,8,1,0,1,1,2,3,1,,1,1,9,9,9,3,3,1,2,24,246,0,15,1,207976,759216
2023000470,1,1,4,0,,,,,73,0,95,,14,2023,5,6,83,4,5,7,9,2,5,9,2,0,4,1,2,3,5,,1,1,9,9,9,0,0,9,2,23,234,99,99,1,225651,729507
2023000481,1,1,1,3000,1630,1610,,13590511,,,,,61,2023,12,2,80,4,5,7,0,3,5,9,3,0,1,1,4,5,6,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,219796,630241
2023000490,1,1,3,0,,,,,85,0,96,3772,12,2023,11,9,46,4,1,5,1,3,2,9,1,0,1,1,5,3,1,2,1,1,9,9,9,0,0,9,2,24,246,99,99,1,217360,757495
2023000503,1,1,2,47,220,,9999,,,,,,14,2023,7,22,25,4,1,7,9,3,2,8,3,0,1,1,4,3,1,5,1,1,9,9,9,0,0,9,2,22,222,99,19,3,240150,732328
2023000517,1,1,1,8400,403,116,,290004,,,,,52,2023,11,26,55,4,1,1,9,3,4,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,441,0,14,1,182769,643441
2023000519,1,1,2,70,258,,46,,,,,,38,2023,5,18,63,4,1,5,9,3,2,8,3,0,1,1,4,3,1,,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166013,633813
2023000520,1,1,1,70,701,704,,8880052,,,,,38,2023,9,19,59,4,1,3,0,2,1,8,0,3,1,1,2,3,1,6,1,1,9,9,9,3,3,1,6,61,613,0,13,1,166778,632339
2023000521,1,1,1,6600,968,942,,10170071,,,,,20,2023,9,10,65,4,1,1,1,3,1,8,0,3,1,1,3,3,1,2,1,1,9,9,9,3,4,9,5,51,513,0,14,1,179888,656963
2023000536,1,1,1,5000,461,934,,80150483,,,,,20,2023,4,13,76,4,1,5,1,2,1,8,0,3,1,1,2,3,1,2,1,1,9,9,5,8,0,9,5,51,511,0,13,1,178539,666134
2023000542,1,1,4,0,,,,,4,0,1050,,52,2023,12,2,63,4,1,7,9,2,11,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,442,99,99,1,180527,653902
2023000545,1,1,2,1761,,,9999,,,,,,38,2023,6,15,59,4,1,5,9,3,2,8,3,0,1,1,3,3,1,5,1,1,9,9,9,0,0,9,6,61,611,33,52,2,176432,625712
2023000558,1,1,4,0,,,,,,,,,14,2023,11,4,63,4,1,7,9,2,10,8,3,0,1,1,2,5,1,,1,6,9,9,9,0,0,9,9,99,999,99,99,9,,
2023000585,1,1,4,0,,,,,6,0,,,12,2023,3,29,70,4,1,4,9,3,7,9,3,0,1,1,2,5,1,,1,1,9,9,9,0,0,9,4,43,432,99,99,3,197008,658361
2023000598,1,1,2,1020,182,,9999,,,,,,12,2023,1,7,80,4,5,7,9,3,11,8,3,0,1,1,2,3,3,,1,1,9,9,9,0,0,9,3,32,324,0,16,3,193148,713672
2023000601,1,1,2,8900,,,9999,,,,,,12,2023,1,17,84,4,5,3,9,2,7,8,3,0,1,1,2,4,3,,1,1,9,9,9,0,0,9,2,24,241,0,26,2,218067,751042
2023000602,1,2,2,3730,339,,9999,,,,,,43,2023,6,23,53,4,1,6,9,2,3,8,3,0,1,1,4,3,1,,1,1,9,9,9,0,0,9,7,77,777,99,16,3,214574,641015
2023000606,1,1,4,0,,,,,471,0,58,,51,2023,7,29,78,4,5,7,9,2,3,9,3,0,7,1,5,3,3,7,1,1,9,9,9,0,0,9,4,42,422,99,99,1,190442,663939
2023000610,1,1,3,0,,,,,4,85,2305,4050,12,2023,1,9,46,4,1,2,1,2,2,9,0,3,5,1,3,3,1,2,1,1,9,9,9,0,0,9,2,24,246,99,99,1,209402,758228
2023000611,1,1,2,8300,301,,118,,,,,,52,2023,6,8,50,4,1,5,9,2,11,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,442,0,13,1,180399,652482
2023000616,1,1,2,8300,1251,,9999,,,,,,52,2023,3,16,35,4,1,5,9,3,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,9,0,9,4,44,442,0,13,3,178859,653693
2023000643,1,1,3,0,,,,,79,0,98,1375,12,2023,11,20,33,4,1,2,0,3,2,9,1,0,1,1,1,3,1,1,1,1,9,9,9,0,0,9,2,24,241,99,99,1,216252,744579
2023000653,1,2,2,3570,102,,13,,,,,,41,2023,4,25,75,2,1,3,9,2,4,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,7,77,777,0,16,1,217518,668321
2023000659,1,1,2,2610,148,,9999,,,,,,61,2023,6,4,49,4,1,1,9,3,3,9,3,0,6,1,4,4,11,3,9,1,9,9,9,0,0,9,1,11,112,0,14,3,199394,629152
2023000663,1,1,3,0,,,,,40,4623,2870,761,51,2023,6,6,3,4,5,3,1,3,3,8,0,3,5,1,4,3,3,2,1,1,9,9,9,0,0,9,4,42,422,99,99,1,191217,661621
2023000679,1,1,1,6300,403,412,,47860028,,,,,20,2023,10,19,85,4,5,5,1,3,2,8,1,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,512,0,15,1,181332,664474
2023000725,1,2,4,0,,,,,90,0,3585,,41,2023,7,28,27,4,1,6,9,3,5,8,2,0,4,1,2,3,1,,1,1,6,1,9,0,0,9,7,77,777,99,99,1,250666,695479
2023000730,1,1,1,6500,612,701,,7730007,,,,,12,2023,5,17,59,4,1,4,0,3,2,8,3,0,1,1,2,3,1,6,1,1,9,9,9,0,0,9,3,32,324,0,14,1,193110,704401
2023000731,1,1,1,9700,186,101,,7970002,,,,,51,2023,12,18,39,4,1,2,1,3,2,9,0,5,1,1,1,3,1,2,1,1,9,9,9,0,0,9,4,42,421,0,15,1,190236,673048
2023000739,1,1,2,6900,671,,26,,,,,,51,2023,5,14,31,4,1,1,9,3,2,9,2,0,1,1,2,5,1,,1,1,9,9,9,0,0,9,4,42,421,0,14,1,190112,677996
2023000746,1,1,1,8600,147,148,,10610111,,,,,20,2023,11,12,58,4,1,1,1,2,2,8,1,0,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183756,667285
2023000757,1,1,4,0,,,,,784,0,87,,12,2023,10,6,36,2,1,6,9,3,5,5,2,0,4,1,4,3,1,,1,1,9,9,9,0,0,9,2,24,241,99,99,1,221924,747142
2023000772,1,1,1,5000,225,249,,17120213,,,,,20,2023,9,14,55,4,1,5,1,3,1,8,3,0,1,1,4,4,1,2,1,1,9,9,9,3,4,2,5,51,511,0,13,1,182873,668988
2023000788,1,1,1,7100,375,6011,,7990002,,,,,38,2023,5,16,55,4,1,3,0,3,1,9,0,3,1,1,3,3,1,6,1,1,9,9,9,4,3,2,6,61,614,0,14,1,159419,620250
2023000813,1,1,2,5000,180,,9999,,,,,,20,2023,2,11,79,4,5,7,9,3,4,8,3,0,1,1,4,3,6,,1,1,9,9,9,0,0,9,5,51,511,0,13,3,181474,667671
2023000818,1,1,2,8500,,,9999,,,,,,52,2023,6,30,57,4,1,6,9,2,15,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,43,432,0,15,2,187517,648359
