HODESH_TEUNA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years,HOUR
3,4,1,2,1,9,3,0,1,1,2,3,1,9,7.0,1,1,21,4,1,0.6,3.0,13
1,4,5,6,1,8,3,0,1,1,4,3,3,1,2.0,1,1,41,5,2,1.92,7.0,2
1,4,5,6,1,8,3,0,1,1,4,3,3,1,2.0,1,1,41,5,1,1.92,7.0,2
9,2,5,7,1,8,1,0,1,1,2,3,3,0,6.0,1,1,51,8,1,1.32,24.0,20
9,2,5,7,1,8,1,0,1,1,2,3,3,0,6.0,1,1,51,7,1,1.32,18.0,20
7,4,1,4,1,8,3,0,1,1,2,3,1,0,5.0,1,1,44,8,1,4.5,4.0,12
7,4,1,4,1,8,3,0,1,1,2,3,1,0,5.0,1,1,44,6,2,4.5,6.0,12
5,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,14,1,3.12,44.0,16
5,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,8,2,3.12,17.0,16
5,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,10,1,3.12,30.0,16
4,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,8,1,2.52,16.0,20
4,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,99,0,2.52,,20
4,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,7,2,2.52,15.0,20
4,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,5,1,2.52,5.0,20
12,4,5,3,1,8,1,0,1,1,2,3,3,0,1.0,1,1,51,9,1,1.32,27.0,18
2,4,1,3,1,8,0,2,2,1,5,3,1,1,2.0,9,2,42,7,2,3.97,8.0,14
2,4,1,3,1,8,0,2,2,1,5,3,1,1,2.0,9,2,42,7,1,3.97,11.0,14
7,4,5,6,1,8,0,3,3,1,3,3,6,1,2.0,1,1,61,6,1,8.88,7.0,5
7,4,5,6,1,8,0,3,3,1,3,3,6,1,2.0,1,1,61,11,1,8.88,34.0,5
4,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,15,1,1.92,48.0,18
4,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,7,2,1.92,17.0,18
4,4,1,5,1,9,0,3,3,1,2,3,1,1,2.0,1,1,62,9,2,1.92,20.0,18
1,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,12,1,2.88,39.0,11
1,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,12,1,2.88,45.0,11
1,4,1,3,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,5,1,2.88,6.0,11
1,4,1,4,1,9,3,0,1,1,2,3,1,1,2.0,1,1,42,16,2,1.32,58.0,14
1,4,1,4,1,9,3,0,1,1,2,3,1,1,2.0,1,1,42,10,1,1.32,32.0,14
11,4,1,4,1,8,3,0,1,1,2,3,1,0,1.0,1,1,11,14,1,0.6,33.0,8
9,4,1,5,1,8,2,0,1,1,2,3,1,0,6.0,1,1,31,15,1,3.12,49.0,10
9,4,1,5,1,8,2,0,1,1,2,3,1,0,6.0,1,1,31,13,1,3.12,46.0,10
3,4,1,3,1,8,0,3,1,1,4,3,1,0,6.0,1,1,61,8,1,1.32,21.0,14
3,4,1,3,1,8,0,3,1,1,4,3,1,0,6.0,1,1,61,11,2,1.32,36.0,14
5,4,5,2,1,9,0,3,1,0,3,3,3,1,2.0,1,1,11,11,1,1.32,28.0,22
5,4,5,2,1,9,0,3,1,0,3,3,3,1,2.0,1,1,11,10,1,1.32,31.0,22
2,4,1,7,1,8,0,2,1,1,5,4,1,1,2.0,1,1,41,99,0,0.6,,14
12,4,1,7,1,9,0,3,1,1,3,3,1,1,2.0,1,1,11,6,1,4.12,7.0,16
2,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,14,1,3.12,51.0,18
2,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,13,1,3.12,35.0,18
2,4,5,4,1,8,0,3,4,1,5,4,3,0,1.0,1,1,42,14,1,3.12,51.0,18
4,4,1,5,1,8,2,0,1,1,3,3,1,1,2.0,2,1,11,10,1,0.9,28.0,13
3,4,1,4,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,12,1,8.88,28.0,11
3,4,1,4,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,8,1,8.88,21.0,11
5,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,12,2,8.52,7.0,22
5,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,8,1,8.52,22.0,22
5,4,5,4,1,8,3,0,2,1,3,3,6,1,2.0,1,1,31,99,0,8.52,,22
2,4,1,4,1,9,0,3,1,1,5,3,1,1,4.0,2,2,32,5,1,1.92,6.0,16
2,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,15,1,1.92,53.0,12
2,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,13,2,1.92,33.0,12
2,4,1,4,1,9,0,3,2,1,5,3,1,1,2.0,2,2,62,10,1,1.92,32.0,12
3,4,1,2,1,8,0,3,1,1,5,3,1,0,5.0,1,1,42,6,1,1.32,10.0,9
3,4,1,2,1,8,0,3,1,1,5,3,1,0,5.0,1,1,42,13,1,1.32,55.0,9
12,4,1,5,1,4,2,0,1,1,3,3,1,1,2.0,1,1,51,9,1,0.6,24.0,13
7,4,5,5,1,8,3,0,1,1,4,4,3,1,2.0,1,1,51,5,1,1.32,5.0,21
7,4,5,5,1,8,3,0,1,1,4,4,3,1,2.0,1,1,51,99,0,1.32,,21
5,4,1,3,1,9,0,3,1,1,2,3,1,1,3.0,1,1,11,11,1,5.04,35.0,14
5,4,1,5,1,9,3,0,1,1,2,3,1,1,2.0,1,1,11,14,2,0.9,37.0,9
8,4,1,1,1,9,0,2,1,1,2,5,11,1,2.0,9,9,31,16,1,6.36,53.0,14
8,4,1,1,1,9,0,2,1,1,2,5,11,1,2.0,9,9,31,14,1,6.36,51.0,14
3,1,1,3,1,8,0,1,1,1,2,3,1,0,1.0,1,1,62,9,1,1.92,16.0,15
3,1,1,3,1,8,0,1,1,1,2,3,1,0,1.0,1,1,62,4,2,1.92,4.0,15
12,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,14,1,1.32,44.0,8
12,4,1,4,1,9,9,0,0,0,0,5,11,9,,9,9,32,7,2,1.32,6.0,8
7,4,1,1,1,9,3,0,1,1,3,3,1,1,2.0,1,1,41,4,2,2.52,4.0,17
7,4,1,1,1,9,3,0,1,1,3,3,1,1,2.0,1,1,41,4,1,2.52,2.0,17
2,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,23,5,1,1.32,9.0,23
2,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,23,4,1,1.32,3.0,23
4,4,1,1,1,8,0,3,3,1,3,3,1,1,2.0,1,1,61,8,1,2.52,22.0,17
4,4,1,1,1,8,0,3,3,1,3,3,1,1,2.0,1,1,61,14,1,2.52,50.0,17
8,4,1,3,1,8,0,3,1,1,2,3,1,0,1.0,1,1,32,17,1,0.6,6.0,19
5,4,5,5,1,9,3,0,1,1,3,1,3,0,1.0,1,1,11,4,1,1.32,4.0,23
5,4,5,5,1,9,3,0,1,1,3,1,3,0,1.0,1,1,11,4,2,1.32,4.0,23
1,4,5,7,1,8,0,3,1,1,5,3,3,1,2.0,1,1,43,14,2,2.52,48.0,17
1,4,5,7,1,8,0,3,1,1,5,3,3,1,2.0,1,1,43,4,1,2.52,3.0,17
10,4,1,6,1,8,3,0,1,1,2,3,1,1,2.0,1,1,31,13,1,2.52,33.0,7
10,4,1,6,1,8,3,0,1,1,2,3,1,1,2.0,1,1,31,7,1,2.52,18.0,7
9,4,5,7,1,9,0,2,1,1,4,5,3,1,2.0,1,1,32,6,2,3.12,9.0,2
9,4,5,7,1,9,0,2,1,1,4,5,3,1,2.0,1,1,32,13,1,3.12,33.0,2
11,4,5,4,1,8,3,0,1,1,2,3,8,0,1.0,1,1,41,9,1,0.6,24.0,17
10,4,5,2,1,8,3,0,1,1,2,3,3,1,2.0,1,1,11,8,1,12.66,21.0,18
10,4,5,2,1,8,3,0,1,1,2,3,3,1,2.0,1,1,11,11,1,12.66,37.0,18
9,4,1,5,1,9,0,3,3,1,4,4,1,9,,1,1,42,7,1,1.98,17.0,8
7,4,5,3,1,8,3,0,1,1,3,3,3,1,2.0,1,1,11,6,1,2.57,3.0,1
6,4,5,6,1,9,3,0,1,1,2,3,3,0,5.0,1,1,42,12,1,1.32,37.0,21
6,4,5,6,1,9,3,0,1,1,2,3,3,0,5.0,1,1,42,6,1,1.32,5.0,21
7,4,5,1,1,9,1,0,1,1,4,3,10,1,2.0,9,1,11,5,1,5.04,9.0,2
7,4,5,1,1,9,1,0,1,1,4,3,10,1,2.0,9,1,11,11,2,5.04,31.0,2
4,3,5,2,1,4,1,0,1,1,2,3,10,0,6.0,9,1,62,5,2,1.32,7.0,18
4,3,5,2,1,4,1,0,1,1,2,3,10,0,6.0,9,1,62,10,1,1.32,7.0,18
3,4,5,5,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,10,1,2.57,29.0,2
6,4,1,3,1,9,3,0,1,1,4,3,1,0,1.0,1,1,51,99,0,0.6,,8
10,4,5,1,1,8,1,0,1,1,4,3,6,0,1.0,1,1,51,5,1,5.76,7.0,17
9,4,1,2,1,9,0,3,3,1,0,3,1,1,2.0,1,1,62,7,1,1.32,12.0,10
9,4,1,2,1,9,0,3,3,1,0,3,1,1,2.0,1,1,62,6,1,1.32,10.0,10
6,4,1,5,1,8,0,2,3,1,3,3,1,0,1.0,1,1,51,6,1,1.32,12.0,19
6,4,1,5,1,8,0,2,3,1,3,3,1,0,1.0,1,1,51,15,2,1.32,48.0,19
3,4,1,5,1,8,3,0,1,1,2,3,1,0,1.0,1,1,42,15,2,0.6,51.0,14
4,2,5,3,1,8,1,0,1,1,2,3,3,0,1.0,1,1,51,6,1,1.98,12.0,19
4,2,5,3,1,8,1,0,1,1,2,3,3,0,1.0,1,1,51,10,2,1.98,28.0,19
5,1,5,6,1,9,0,3,1,1,3,3,3,1,2.0,1,1,32,6,1,2.52,11.0,21
5,1,5,6,1,9,0,3,1,1,3,3,3,1,2.0,1,1,32,9,1,2.52,10.0,21
3,4,1,3,1,8,2,0,1,1,2,3,1,0,1.0,2,2,11,14,1,2.22,44.0,7
12,4,5,6,1,9,3,0,1,0,1,5,6,1,2.0,1,1,51,10,1,3.97,31.0,19
12,4,5,6,1,9,3,0,1,0,1,5,6,1,2.0,1,1,51,12,1,3.97,41.0,19
4,4,1,7,1,8,0,3,2,1,2,3,1,1,2.0,1,1,62,16,1,2.88,41.0,17
